KANTAR MARKET,DMA_Code,NIELSEN DMA,Region_Name,Division_Name,IsInFootprint,IsTop31
"ALBANY,NY",532,Albany - Schenectady - Troy,Western New England,Northeast,1,0
ALBUQUERQUE,790,Albuquerque - Santa Fe,Mile High,West,1,1
AMARILLO,634,Amarillo,Mile High,West,1,0
ATLANTA,524,Atlanta,Big South,Central,1,1
AUGUSTA,520,Augusta,Big South,Central,1,0
BALTIMORE,512,Baltimore,Beltway,Northeast,1,1
BIRMINGHAM,630,Birmingham (Anniston and Tuscaloosa),Big South,Central,1,0
BLUEFIELD,559,Bluefield - Beckley - Oak Hill,Beltway,Northeast,1,0
BOSTON,506,Boston (Manchester),Greater Boston,Northeast,1,1
BOWLING GREEN,736,Bowling Green,Heartland,Central,1,0
BUFFALO,514,Buffalo,Keystone,Northeast,1,0
BURLINGTON,523,Burlington - Plattsburgh,Western New England,Northeast,1,0
CHAMPAIGN,648,Champaign & Springfield - Decatur,Chicago,Central,1,0
"CHARLESTON,SC",519,"Charleston, SC",Big South,Central,1,0
"CHARLESTON,WV",564,Charleston-Huntington,Beltway,Northeast,1,0
CHARLOTTESVILL,584,Charlottesville,Beltway,Northeast,1,0
CHATTANOOGA,575,Chattanooga,Big South,Central,1,1
CHICAGO,602,Chicago,Chicago,Central,1,1
CHICO,868,Chico - Redding,California,West,1,0
CINCINNATI,515,Cincinnati,Heartland,Central,1,0
CLARKSBURG,598,Clarksburg - Weston,Keystone,Northeast,1,0
COLORADO SPRGS,752,Colorado Springs-Pueblo,Mile High,West,1,1
"COLUMBIA,SC",546,"Columbia, SC",Big South,Central,1,0
"COLUMBUS,GA",522,"Columbus, GA",Big South,Central,1,0
"COLUMBUS,MS",673,Columbus - Tupelo - West Point,Big South,Central,1,0
DAVENPORT,682,Davenport - Rock Island - Moline,Chicago,Central,1,0
DAYTON,542,Dayton,Heartland,Central,1,0
DENVER,751,Denver,Mile High,West,1,1
DETROIT,505,Detroit,Heartland,Central,1,1
DOTHAN,606,Dothan,Florida,Central,1,0
EL PASO,765,El Paso,Mile High,West,1,0
EUGENE,801,Eugene,Portland,West,1,0
EVANSVILLE,649,Evansville,Heartland,Central,1,0
FLINT,513,Flint - Saginaw - Bay City,Heartland,Central,1,0
FRESNO,866,Fresno - Visalia,California,West,1,1
FT MYERS,571,Fort Myers - Naples,Florida,Central,1,1
FT WAYNE,509,Fort Wayne,Heartland,Central,1,0
GAINESVILLE,592,Gainesville,Florida,Central,1,0
GRAND RAPIDS,563,Grand Rapids - Kalamazoo - Battle Creek,Heartland,Central,1,1
GREEN BAY,658,Green Bay - Appleton,Twin Cities,West,1,0
GREENSBORO,518,Greensboro - High Point - Winston-Salem,Beltway,Northeast,1,0
"GREENVILLE,SC",567,Greenville - Spartansburg - Asheville - Anderson,Big South,Central,1,0
HARRISBURG,566,Harrisburg - Lancaster - Lebanon - York,Keystone,Northeast,1,1
HARRISONBURG,569,Harrisonburg,Beltway,Northeast,1,0
HARTFORD,533,Hartford & New Haven,Western New England,Northeast,1,1
HATTIESBURG,710,Hattiesburg - Laurel,Big South,Central,1,0
HOUSTON,618,Houston,Houston,West,1,1
HUNTSVILLE,691,Huntsville - Decatur (Florence),Big South,Central,1,0
INDIANAPOLIS,527,Indianapolis,Heartland,Central,1,1
"JACKSON,MS",718,"Jackson, MS",Big South,Central,1,0
"JACKSON,TN",639,"Jackson, TN",Big South,Central,1,0
JACKSONVILLE,561,"Jacksonville, Brunswick",Florida,Central,1,1
JOHNSTOWN,574,Johnstown - Altoona,Keystone,Northeast,1,0
KANSAS CITY,616,Kansas City,Twin Cities,West,1,0
KNOXVILLE,557,Knoxville,Big South,Central,1,0
"LAFAYETTE,IN",582,"Lafayette, IN",Heartland,Central,1,0
LANSING,551,Lansing,Heartland,Central,1,0
LITTLE ROCK,693,Little Rock - Pine Bluff,Big South,Central,1,0
LOUISVILLE,529,Louisville,Heartland,Central,1,0
MACON,503,Macon,Big South,Central,1,0
MANKATO,737,Mankato,Twin Cities,West,1,0
MEMPHIS,640,Memphis,Big South,Central,1,1
MERIDIAN,711,Meridian,Big South,Central,1,0
MIAMI,528,Miami - Fort Lauderdale,Florida,Central,1,1
MINNEAPOLIS,613,Minneapolis - Saint Paul,Twin Cities,West,1,1
MOBILE,686,Mobile - Pensacola (Fort Walton Beach),Big South,Central,1,0
MONROE,628,Monroe - El Dorado,Big South,Central,1,0
MONTEREY,828,Monterey - Salinas,California,West,1,0
NASHVILLE,659,Nashville,Big South,Central,1,1
NEW ORLEANS,622,New Orleans,Big South,Central,1,0
NEW YORK,501,New York,Freedom,Northeast,1,0
NORFOLK,544,Norfolk - Portsmouth - Newport News,Beltway,Northeast,1,0
ORLANDO,534,Orlando - Daytona Beach - Melbourne,Florida,Central,1,0
PADUCAH,632,Paducah - Cape Girardeau - Harrisburg - Mt Vernon,Heartland,Central,1,0
PANAMA CITY,656,Panama City,Florida,Central,1,0
PEORIA,675,Peoria - Bloomington,Chicago,Central,1,0
