Mkt,Market,NIELSEN_MARKET,DMA_CODE, Total Persons 12+ , Total Men 18+ , Total Men 12-24 , Total Men 18-20 , Total Men 21-24 , Total Men 18-24 , Total Men 25-34 , Total Men 25-49 , Total Men 35-44 , Total Men 45-49 , Total Men 50-54 , Total Men 55-64 , Total Men 65+ , Total Women 18+ , Total Women 12-24 , Total Women 18-20 , Total Women 21-24 , Total Women 18-24 , Total Women 25-34 , Total Women 25-49 , Total Women 35-44 , Total Women 45-49 , Total Women 50-54 , Total Women 55-64 , Total Women 65+ , Total Teens 12-17 
546,ABILENE-SWEETWATER DMA,ABILENE - SWEETWATER,662,267300,122700,31700,8100,10900,19000,22800,51300,19600,8900,8500,18800,25100,119800,28500,7500,8900,16400,19300,45000,17500,8200,8300,19200,30900,24800
69,ALBANY-SCHENECTADY-TROY DMA,ALBANY - SCHENECTADY - TROY,532,1214800,547100,118800,31500,39200,70700,87000,208300,80600,40700,46200,98800,123100,574200,111400,29800,36200,66000,83000,205300,80700,41600,47800,104600,150500,93500
580,"ALBANY, GA DMA","ALBANY, GA",525,346800,151800,38500,9400,11900,21300,27900,64900,24800,12200,12700,23500,29400,160800,36600,8800,10800,19600,25800,63200,25200,12200,12900,26500,38600,34200
141,ALBUQUERQUE-SANTA FE DMA,ALBUQUERQUE - SANTA FE,790,1644800,731600,167800,39100,50800,89900,129900,303400,119100,54400,55500,121700,161100,760000,158800,36500,47000,83500,121600,293400,116800,55000,58100,133300,191700,153200
587,"ALEXANDRIA, LA DMA","ALEXANDRIA, LA",644,201600,92000,23900,5700,8400,14100,18600,40600,15300,6700,6800,13700,16800,90500,19700,4500,5900,10400,15600,36700,14500,6600,7200,14600,21600,19100
731,ALPENA DMA,ALPENA,583,34400,15800,2600,600,800,1400,1900,4700,1900,900,1200,3500,5000,16300,2400,600,700,1300,1700,4600,1900,1000,1200,3600,5600,2300
147,AMARILLO DMA,AMARILLO,634,455300,208700,54200,12800,17100,29900,41400,94300,36900,16000,16000,31100,37400,198900,48800,11400,14000,25400,35200,82900,32700,15000,14700,31100,44800,47700
315,ANCHORAGE DMA,ANCHORAGE,743,382900,177400,42400,9600,13700,23300,37500,82400,31000,13900,14000,29100,28600,168500,37000,8100,11000,19100,33400,76700,30000,13300,13600,28700,30400,37000
47,ATLANTA DMA,ATLANTA,524,6113800,2628800,660900,158400,196900,355300,475500,1175900,462200,238200,241100,421300,435200,2884000,642300,154400,192500,346900,495200,1254900,501700,258000,257500,464900,559800,601000
305,AUGUSTA-AIKEN DMA,AUGUSTA,520,621700,272700,65700,15900,20700,36600,50300,114100,43500,20300,21700,44600,55700,292100,59300,13600,17900,31500,48600,115500,45100,21800,23200,50600,71300,56900
135,AUSTIN DMA,"AUSTIN, TX",635,2014000,901200,224800,54700,69700,124400,174900,429700,173500,81300,75300,133100,138700,916000,215900,52600,66900,119500,162200,415500,171800,81500,74400,139100,167500,196800
143,BAKERSFIELD DMA,BAKERSFIELD,800,661300,297100,85700,19200,26500,45700,66800,145400,55200,23400,22200,41700,42100,285600,78800,17100,23100,40200,58500,131300,50300,22500,22100,42400,49600,78600
21,BALTIMORE DMA,BALTIMORE,512,2575400,1120700,250400,61800,76400,138200,203500,477100,185700,87900,97000,193700,214700,1234200,239500,59300,71900,131200,209200,501000,196700,95100,105400,215300,281300,220500
526,BANGOR DMA,BANGOR,537,304700,138200,27300,7500,8300,15800,20100,48900,18800,10000,11400,27200,34900,144100,25200,6700,7600,14300,19200,48800,19100,10500,12000,28700,40300,22400
223,BATON ROUGE DMA,BATON ROUGE,716,781500,344300,86300,20400,29200,49600,66600,152400,59000,26800,27200,54200,60900,364700,84500,19900,28800,48700,64100,151100,59600,27400,28400,59100,77400,72500
149,BEAUMONT-PORT ARTHUR DMA,BEAUMONT - PORT ARTHUR,692,392200,180000,41200,9500,13000,22500,34400,79300,30700,14200,14300,29400,34500,175700,37700,8900,11000,19900,28600,69200,27500,13100,13900,30200,42500,36500
727,"BEND, OR DMA","BEND, OR",821,172200,77300,14800,3300,4200,7500,12100,31400,13000,6300,6100,12900,19400,80700,13900,3000,4000,7000,11800,31100,12900,6400,6400,14700,21500,14200
225,BILLINGS DMA,BILLINGS,756,248500,111000,24200,5500,6900,12400,17200,42800,17500,8100,8400,20300,27100,114600,22800,5300,6400,11700,17100,42700,17700,7900,8800,21300,30100,22900
533,BILOXI-GULFPORT DMA,BILOXI - GULFPORT,746,315900,138700,34300,8500,10300,18800,24600,58200,22700,10900,11300,23300,27100,147200,30800,7200,9100,16300,25200,61000,24200,11600,12200,25000,32700,30000
227,BINGHAMTON DMA,BINGHAMTON,502,288100,130500,31200,9100,10500,19600,19600,45200,16900,8700,10100,24600,31000,135000,28900,8300,9600,17900,18700,44600,17000,8900,10400,24700,37400,22600
95,BIRMINGHAM (ANN AND TUSC) DMA,BIRMINGHAM (ANNISTON AND TUSCALOOSA),630,1631300,707500,164500,39700,51300,91000,123300,295000,114200,57500,59000,118000,144500,779900,160000,39700,49900,89600,126300,308400,121900,60200,62400,131300,188200,143900
558,BLUEFIELD-BECKLEY-OAK HILL DMA,BLUEFIELD - BECKLEY - OAK HILL,559,270900,122100,23700,5800,7000,12800,18100,46300,18200,10000,9600,21700,31700,127400,21500,4900,6100,11000,16900,44700,18100,9700,9700,23900,38100,21400
229,BOISE DMA,BOISE,757,726300,324500,81100,19000,23700,42700,57900,143000,57700,27400,25900,50200,62700,326100,75500,17000,21200,38200,55000,137500,55900,26600,26100,52200,72100,75700
13,BOSTON (MANCHESTER) DMA,BOSTON (MANCHESTER),506,5892800,2614900,575600,150400,185800,336200,453200,1081100,418500,209400,228200,457700,511700,2807700,564400,152400,181200,333600,441900,1089300,428600,218800,240400,491000,653400,470200
717,BOWLING GREEN DMA,BOWLING GREEN,736,198100,87600,23600,6200,8300,14500,15300,35900,13800,6800,6900,13700,16600,92400,23100,6600,7500,14100,14900,35900,14000,7000,7100,14800,20500,18100
37,BUFFALO DMA,BUFFALO,514,1330300,593400,127900,33100,40200,73300,102900,233400,87100,43400,48900,108900,128900,629700,122400,31900,37900,69800,97900,228800,87000,43900,51100,115600,164400,107200
